the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000656E33B297F654C07A1C0BAC91BC4140,218408,0101000020110F0000D187B247D9CD61C13622027B45215041,218342,>1m <=5m,ATBI DATABASE,,1446942456000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241131,3929262,35.473189,-83.853005,Lake Cheoah-Little Tennessee River,Twentymile Creek,1862.303467,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942456000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AA5B9126EBED54C005F91FC156BD4140,218444,0101000020110F00004D99C05E7BC661C1AB48020513225041,218377,>1m <=5m,ATBI DATABASE,,1446942475000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253450,3929582,35.479203,-83.717473,Hazel Creek,,2082.106689,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942475000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000041BF9E2BE1ED54C0BC90FE0649BD4140,218445,0101000020110F0000DE9ED5E472C661C1B80BF6B304225041,218378,>1m <=5m,ATBI DATABASE,,1446942475000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253504,3929534,35.478784,-83.716864,Hazel Creek,Hazel Creek,2018.631592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942475000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000599438DCFBEA54C01CDAAC6C72B94140,218446,0101000020110F0000DA42874CFDC361C1F6D35C18041E5041,218379,>1m <=5m,ATBI DATABASE,,1446942476000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257520,3926095,35.448798,-83.671618,Lower Fontana Lake-Little Tennessee River,Clark Branch,1891.020264,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942476000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1055980800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003986FD278AE854C09E104DEF0EB94140,218458,0101000020110F0000637968E3E9C161C10CEDA75F9C1D5041,218391,>1m <=5m,ATBI DATABASE,,1446942482000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260978,3925665,35.445761,-83.633428,Lower Fontana Lake-Little Tennessee River,,1767.47583,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942482000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008370A2E96EE854C06A0F16761AB94140,218459,0101000020110F000040E515C0D2C161C1158DE663A81D5041,218392,>1m <=5m,ATBI DATABASE,,1446942482000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261130,3925700,35.446113,-83.631765,Lower Fontana Lake-Little Tennessee River,,1758.005859,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942482000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000DDBC8FA892E854C03270CEF5EEB84140,218456,0101000020110F00003A7DF81BF1C161C12ED4340A7B1D5041,218389,>1m <=5m,ATBI DATABASE,,1446942481000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260928,3925558,35.444786,-83.633947,Lower Fontana Lake-Little Tennessee River,,1693.744507,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942481000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000045F5D6C096E854C096C34E88EBB84140,218455,0101000020110F0000300F4696F4C161C15E946977771D5041,218388,>1m <=5m,ATBI DATABASE,,1446942480000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260905,3925547,35.444681,-83.634197,Lower Fontana Lake-Little Tennessee River,,1742.273193,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942480000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B6B52A2E33E454C0E33C01ECDABB4140,218461,0101000020110F0000663D0E563ABE61C1072A01E786205041,218394,>1m <=5m,ATBI DATABASE,,1446942483000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267197,3927927,35.467612,-83.56562,Forney Creek,Forney Creek,1780.200195,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942483000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056326400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000093AB11273BE054C07C1C0717D8BE4140,218464,0101000020110F00005EB4696CDBBA61C1C26123EFA4235041,218397,>1m <=5m,ATBI DATABASE,,1446942485000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272891,3930373,35.490963,-83.503606,Noland Creek,Noland Creek,2426.181641,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942485000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000955F43C61CE154C0DA88F78183BC4140,218463,0101000020110F00003C8D500B9BBB61C1207B7DB536215041,218396,>1m <=5m,ATBI DATABASE,,1446942484000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271590,3928385,35.472756,-83.517377,Noland Creek,Noland Creek,2262.606445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942484000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000059AD89EEA1E254C0838EFC1F32BB4140,218462,0101000020110F0000230E3E8EE5BC61C1442E08E3D61F5041,218395,>1m <=5m,ATBI DATABASE,,1446942484000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269405,3927298,35.46246,-83.541129,Noland Creek,,2369.100586,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446942484000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088294400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008D5777C452D154C0550BBED35EE14140,218479,0101000020110F000027F4962A32AE61C19EB3D12CB8475041,218410,>1m <=5m,ATBI DATABASE,,1446942492000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294716,3959785,35.760699,-83.270673,Cosby Creek,Cole Creek,2192.605469,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942492000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961718400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000089CB2E6E9CCD54C00BCFA8599DE04140,218482,0101000020110F00005D04790B0BAB61C1539442AFED465041,218413,>1m <=5m,ATBI DATABASE,,1446942494000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299946,3959010,35.754795,-83.212669,Cosby Creek,Rock Creek,2314.444336,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942494000,GRSM,UNR,,7,,,Gabes Mountain Trail,Cosby Campground Road A,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933120000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000790ECD1E83C754C08C7B471B74DD4140,218489,0101000020110F0000A9310F06DDA561C1AFDB37E79E435041,218420,>1m <=5m,ATBI DATABASE,,1446942498000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308504,3956080,35.730099,-83.117374,Big Creek,Bettis Branch,3486.855713,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446942498000,GRSM,UNR,,7,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Monotropa_uniflora,Monotropa  uniflora,25654,One-flower Indian-pipe,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961632000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Monotropaceae, ,~,by hand, , ,cert,INHS plant survey
