the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000096FD50EF9DF554C0B93E58381CBE4140,178088,0101000020110F0000B8F5612805CD61C1A7AE4EF9E0225041,177662,>1m <=5m,ATBI DATABASE,,1446919212000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242553,3930558,35.485229,-83.83776,Lake Cheoah-Little Tennessee River,Proctor Branch,2379.517578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919212000,GRSM,UNR,,9,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,967075200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000027C6B836E2ED54C0698AF63484BB4140,178099,0101000020110F0000B019AFC773C661C19DA2437A2C205041,177671,>1m <=5m,ATBI DATABASE,,1446919217000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253456,3928001,35.464965,-83.716928,Hazel Creek,Laurel Branch,1870.88855,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919217000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,965692800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000373FF1A8E0ED54C0C5156A6988BB4140,178100,0101000020110F0000698DD97572C661C1A2ECBFDC30205041,177672,>1m <=5m,ATBI DATABASE,,1446919218000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253465,3928015,35.465094,-83.716833,Hazel Creek,Laurel Branch,1880.766479,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919218000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,946684800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, ,decade,cert,ATBI Amphibians
0101000020E6100000E9889FA6A6E454C0AC5D0B61D2BA4140,178121,0101000020110F000085AFC2679CBE61C144962A0D731F5041,177692,>1m <=5m,ATBI DATABASE,,1446919230000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266534,3927048,35.459538,-83.572667,Fontana Lake-Tuckasegee River,,2084.881592,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919230000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,989280000000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000057C224A675DF54C0AC25C808E8BF4140,178127,0101000020110F0000B3C700AF33BA61C1DCFE3F9DC0245041,177698,>1m <=5m,ATBI DATABASE,,1446919234000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274008,3931266,35.499262,-83.491552,Noland Creek,Noland Creek,2731.457764,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919234000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,937958400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000168E5587B2D754C0269D362792BF4140,178156,0101000020110F000070128C059CB361C16C2A150667245041,177725,>1m <=5m,ATBI DATABASE,,1446919253000,DERV,WHITTIER,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285004,3930704,35.496641,-83.370268,Kirkland Creek-Tuckasegee River,Cooper Creek,2569.88916,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446919253000,GRSM,UNR,,4,,,Cooper Creek Trail,Galbraith Creek Rd,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,967075200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E61000003B884CE294CD54C0026836BDFBE24140,178166,0101000020110F0000B921B9A204AB61C10A7FB25F68495041,177735,>1m <=5m,ATBI DATABASE,,1446919260000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300034,3961062,35.773301,-83.212208,Cosby Creek,Cosby Creek,1811.310303,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919260000,GRSM,UNR,,5,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,923529600000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000DBD3D31C40CA54C0F43955D08AE14140,178170,0101000020110F00003BA06B6030A861C168358C36E6475041,177739,>1m <=5m,ATBI DATABASE,,1446919262000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304712,3959708,35.762042,-83.160159,Big Creek,Chestnut Branch,4582.178711,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919262000,GRSM,UNR,,5,,,Appalachian Trail,Cosby Campground Road B,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,928972800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E610000036BAF275F3C654C05328442DBED94140,178175,0101000020110F0000A377770363A561C143B7A73EBD3F5041,177744,>1m <=5m,ATBI DATABASE,,1446919265000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309228,3952847,35.701109,-83.108606,Cold Springs Creek-Pigeon River,Gilliland Creek,4542.016113,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446919265000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,549158400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,by hand, ,day,cert,Highton Salamanders
0101000020E6100000F5656E6080C754C095879861CFD94140,178173,0101000020110F0000B55789B1DAA561C146CCE83CCF3F5041,177742,>1m <=5m,ATBI DATABASE,,1446919264000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308451,3952922,35.701634,-83.117207,Lower Cataloochee Creek,,5143.395996,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446919264000,GRSM,UNR,,8,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,963532800000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
0101000020E6100000E50E54F340C754C0433E8A682BDA4140,178174,0101000020110F0000D1225CD3A4A561C1F0DA787C2F405041,177743,>1m <=5m,ATBI DATABASE,,1446919264000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308808,3953226,35.704443,-83.113335,Cold Springs Creek-Pigeon River,Mount Sterling Creek,4823.003418,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919264000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,549158400000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,by hand, ,day,cert,Highton Salamanders
0101000020E610000065C155158FCA54C035CC0746D6DB4140,178169,0101000020110F0000347E4E7273A861C155CEBBF9ED415041,177738,>1m <=5m,ATBI DATABASE,,1446919262000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304167,3954773,35.71747,-83.164979,Big Creek,Big Creek,3001.909912,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446919262000,GRSM,UNR,,6,,,Big Creek Trail,Cosby Campground Road B,Valid,Gyrinophilus_porphyriticus,Gyrinophilus  porphyriticus,18028,Spring Salamander,Amphibian,Ecological Framework: Biological Integrity | Focal Species or Communities | Amphibians and Reptiles,921715200000,Animalia, ,Chordata, ,Amphibia, , ,Deuterostomia, , ,Caudata, , , , ,Plethodontidae, ,~,observed, , ,cert,ATBI Amphibians
